epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.893,2.29492,1.49399,0.00408,0.74215,0.4956,0.55106,0.25223,2.1634,1.63885,0.00557,0.000665839,0.000665839,0.000665839
2,894.511,2.20093,1.27614,0.00383,0.78611,0.52754,0.60809,0.31462,1.96041,1.09849,0.00511,0.00126655,0.00126655,0.00126655
3,1285.28,2.18563,1.23293,0.00375,0.76594,0.51095,0.5799,0.29176,2.0395,1.15984,0.00521,0.00180125,0.00180125,0.00180125
4,1675.63,2.14627,1.21616,0.0037,0.79518,0.54708,0.62549,0.32313,1.94935,1.02682,0.00495,0.001703,0.001703,0.001703
5,2063.93,2.12362,1.16866,0.00359,0.78711,0.54947,0.62276,0.31967,1.92946,1.16328,0.00483,0.001604,0.001604,0.001604
6,2454.54,2.08763,1.1387,0.00347,0.80792,0.55209,0.63487,0.33571,1.8901,1.03041,0.00468,0.001505,0.001505,0.001505
7,2843.25,2.04968,1.10512,0.00342,0.82278,0.57222,0.66172,0.35268,1.86418,0.95583,0.00462,0.001406,0.001406,0.001406
8,3233.17,2.03713,1.08209,0.00332,0.823,0.58786,0.67135,0.35599,1.84807,0.92951,0.00448,0.001307,0.001307,0.001307
9,3619.94,2.00706,1.05692,0.0033,0.82598,0.59325,0.67433,0.35522,1.8434,0.977,0.0045,0.001208,0.001208,0.001208
10,4002.98,2.00738,1.05619,0.00323,0.8308,0.59518,0.68224,0.36492,1.81959,0.91369,0.00443,0.001109,0.001109,0.001109
11,4378.33,1.91071,1.01025,0.00367,0.82967,0.58993,0.67894,0.36416,1.82599,0.9233,0.00449,0.00101,0.00101,0.00101
12,4750.75,1.89351,0.97955,0.00363,0.83795,0.59589,0.68877,0.37501,1.80372,0.89988,0.00438,0.000911,0.000911,0.000911
13,5124.01,1.86109,0.95786,0.00366,0.83567,0.61079,0.69574,0.37614,1.79886,0.88229,0.00434,0.000812,0.000812,0.000812
14,5502.52,1.84701,0.93569,0.00349,0.83071,0.61042,0.69832,0.37782,1.78757,0.87587,0.00425,0.000713,0.000713,0.000713
15,5882.02,1.82983,0.92549,0.00344,0.83833,0.61722,0.7016,0.38193,1.77255,0.86458,0.00421,0.000614,0.000614,0.000614
16,6260.31,1.81793,0.90455,0.0034,0.84041,0.61961,0.70805,0.38807,1.76206,0.85574,0.00418,0.000515,0.000515,0.000515
17,6639.8,1.80327,0.89557,0.00335,0.84561,0.62531,0.71323,0.39155,1.75232,0.85114,0.00412,0.000416,0.000416,0.000416
18,7016.4,1.79296,0.88518,0.00331,0.84887,0.62455,0.7136,0.39408,1.74408,0.83785,0.00409,0.000317,0.000317,0.000317
19,7395.4,1.77051,0.86702,0.00323,0.84743,0.62659,0.7148,0.3943,1.74497,0.83763,0.0041,0.000218,0.000218,0.000218
20,7773.5,1.75973,0.86271,0.00324,0.84931,0.6284,0.71888,0.39684,1.74445,0.83267,0.00407,0.000119,0.000119,0.000119
