epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1734,1.01864,6.26239,0.02092,0.00333,1,0.0348,0.01353,1.49375,9.94278,0.04517,4e-05,4e-05,4e-05
2,29.4765,0.92175,6.13397,0.01734,0.00333,1,0.04093,0.0158,1.44508,9.86367,0.0441,9.802e-05,9.802e-05,9.802e-05
3,30.7809,0.91899,5.85402,0.01506,0.00333,1,0.17428,0.07367,0.93172,9.30428,0.02402,0.000153664,0.000153664,0.000153664
4,32.0749,0.84897,6.08821,0.01478,0.00333,1,0.15109,0.07776,0.69894,8.97954,0.01754,0.000206932,0.000206932,0.000206932
5,33.3557,0.75138,6.45306,0.01522,0.00333,1,0.38398,0.1877,0.61777,8.83077,0.01599,0.000257824,0.000257824,0.000257824
6,34.6419,0.76589,5.84561,0.01479,0.00333,1,0.22283,0.14209,0.64515,8.86155,0.0165,0.00030634,0.00030634,0.00030634
7,35.9178,0.69966,5.72782,0.01309,0.00333,1,0.30257,0.17694,0.85699,9.05514,0.02214,0.00035248,0.00035248,0.00035248
8,37.1174,0.66351,5.67549,0.01201,0.00333,1,0.34329,0.21844,0.70039,8.85183,0.01798,0.000396244,0.000396244,0.000396244
9,38.7743,0.58096,5.28701,0.01032,0.00333,1,0.3191,0.248,0.65375,8.85365,0.01688,0.000437632,0.000437632,0.000437632
10,40.6782,0.71974,5.12888,0.01266,0.00333,1,0.36316,0.28193,0.63409,8.84967,0.01553,0.000476644,0.000476644,0.000476644
11,42.0887,0.74749,5.06025,0.01296,0.00333,1,0.43087,0.35863,0.56312,8.75214,0.01383,0.00051328,0.00051328,0.00051328
12,43.3518,0.89237,4.85633,0.01604,0.00333,1,0.46415,0.39456,0.56657,8.73597,0.01366,0.00054754,0.00054754,0.00054754
13,44.6076,0.87266,5.66882,0.01679,0.00333,1,0.45137,0.38697,0.51493,8.6407,0.01242,0.000579424,0.000579424,0.000579424
14,45.7677,0.67151,4.76156,0.01198,0.00333,1,0.4481,0.38366,0.52115,8.65214,0.01261,0.000608932,0.000608932,0.000608932
15,46.9766,0.8421,4.46587,0.01583,0.00333,1,0.56656,0.46972,0.6499,8.86152,0.0164,0.000636064,0.000636064,0.000636064
16,48.2381,0.95961,4.29491,0.01739,0.00333,1,0.71824,0.61349,0.62674,8.73703,0.01613,0.00066082,0.00066082,0.00066082
17,49.507,0.81394,4.44999,0.01803,0.00333,1,0.71329,0.56006,0.72527,8.73362,0.01914,0.0006832,0.0006832,0.0006832
18,50.7472,0.99046,4.607,0.02009,0.01898,0.9,0.66706,0.5104,0.87388,8.77008,0.02334,0.000703204,0.000703204,0.000703204
19,52.3614,0.97269,4.26122,0.01703,0.00333,1,0.78148,0.50121,0.78364,8.77758,0.02176,0.000720832,0.000720832,0.000720832
20,54.0805,0.80241,3.7998,0.01467,0.00333,1,0.7224,0.42289,0.83396,8.76246,0.0251,0.000736084,0.000736084,0.000736084
21,55.2893,0.83765,3.94404,0.01577,0.00333,1,0.77442,0.50783,0.91567,8.82594,0.02725,0.00074896,0.00074896,0.00074896
22,56.4438,0.85015,3.72277,0.01632,0.00333,1,0.81286,0.59044,0.96024,8.67716,0.02743,0.00075946,0.00075946,0.00075946
23,57.6459,0.79213,4.15943,0.01602,0.83993,0.7,0.84321,0.65984,0.87676,8.34865,0.02376,0.000767584,0.000767584,0.000767584
24,58.8575,0.81063,3.78225,0.01393,0.84278,0.53966,0.86013,0.63205,0.92836,8.17516,0.02542,0.000773332,0.000773332,0.000773332
25,60.0606,0.7628,3.97348,0.0162,0.82527,0.8,0.90388,0.67284,0.96423,7.87807,0.02655,0.000776704,0.000776704,0.000776704
26,61.3741,0.83602,3.45285,0.01667,0.9925,0.8,0.92882,0.70671,0.9505,7.59836,0.02598,0.0007777,0.0007777,0.0007777
27,62.6208,0.79862,3.84769,0.01646,1,0.8791,0.96643,0.72533,0.95704,7.38934,0.02608,0.00077632,0.00077632,0.00077632
28,63.8289,0.82292,3.22894,0.01298,1,0.83967,0.95382,0.69731,1.07482,7.3205,0.02943,0.000772564,0.000772564,0.000772564
29,65.4551,0.82827,3.09719,0.01404,1,0.83967,0.95382,0.69731,1.07482,7.3205,0.02943,0.000766432,0.000766432,0.000766432
30,67.2942,0.79778,3.2297,0.01451,0.95867,0.9,0.9575,0.73371,1.01055,7.06577,0.02696,0.000757924,0.000757924,0.000757924
31,68.5344,0.82408,3.11458,0.0156,0.89354,0.8,0.94382,0.71373,0.86151,6.85219,0.02298,0.00074704,0.00074704,0.00074704
32,69.733,0.79292,3.32898,0.01564,0.89378,0.84401,0.95643,0.75689,0.78921,6.70812,0.02118,0.00073378,0.00073378,0.00073378
33,70.9191,0.69101,3.01672,0.01204,0.89378,0.84401,0.95643,0.75689,0.78921,6.70812,0.02118,0.000718144,0.000718144,0.000718144
34,72.2181,0.70445,3.27326,0.01334,0.9087,0.9,0.97833,0.79136,0.82188,6.58333,0.02185,0.0006932,0.0006932,0.0006932
35,73.5247,0.75881,3.01781,0.01326,0.95073,0.8,0.97682,0.76184,0.83075,6.44327,0.02175,0.0006536,0.0006536,0.0006536
36,74.707,0.72007,2.96683,0.01506,0.98297,1,0.995,0.79428,0.78935,6.15486,0.02047,0.000614,0.000614,0.000614
37,75.8975,0.7279,3.0294,0.01352,0.98297,1,0.995,0.79428,0.78935,6.15486,0.02047,0.0005744,0.0005744,0.0005744
38,77.1172,0.78343,3.21162,0.0175,1,0.98569,0.995,0.78799,0.75459,5.92185,0.01905,0.0005348,0.0005348,0.0005348
39,79.0972,0.73755,2.84195,0.01236,0.90594,0.96532,0.96773,0.76467,0.78315,5.79749,0.01964,0.0004952,0.0004952,0.0004952
40,80.5779,0.60463,2.58221,0.011,0.99745,1,0.995,0.79032,0.85508,5.59003,0.02166,0.0004556,0.0004556,0.0004556
41,83.6262,0.52741,5.01337,0.01357,0.99745,1,0.995,0.79032,0.85508,5.59003,0.02166,0.000416,0.000416,0.000416
42,84.9098,0.63606,5.22545,0.01964,1,0.98892,0.995,0.7523,0.92105,5.47816,0.02418,0.0003764,0.0003764,0.0003764
43,86.0664,0.73526,5.3408,0.02426,0.99254,1,0.995,0.75264,0.91723,5.35519,0.02458,0.0003368,0.0003368,0.0003368
44,87.2202,0.60833,5.0032,0.01722,0.90279,0.93072,0.97682,0.74994,0.86585,5.19642,0.02339,0.0002972,0.0002972,0.0002972
45,88.3703,0.56635,4.96446,0.01641,0.90279,0.93072,0.97682,0.74994,0.86585,5.19642,0.02339,0.0002576,0.0002576,0.0002576
46,89.5522,0.56799,4.93327,0.01701,0.90875,0.9962,0.97682,0.7664,0.81472,4.97044,0.02201,0.000218,0.000218,0.000218
47,91.1902,0.51084,4.79133,0.0142,1,0.89241,0.98591,0.78418,0.76823,4.74397,0.02049,0.0001784,0.0001784,0.0001784
48,92.9391,0.58444,4.79216,0.01784,1,0.89696,0.995,0.81667,0.73184,4.56139,0.01934,0.0001388,0.0001388,0.0001388
49,94.1563,0.67282,5.13493,0.02064,1,0.89696,0.995,0.81667,0.73184,4.56139,0.01934,9.92e-05,9.92e-05,9.92e-05
50,95.3526,0.5838,4.76672,0.01745,0.9832,1,0.995,0.81827,0.70977,4.40547,0.0186,5.96e-05,5.96e-05,5.96e-05
