epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.689,1.1974,4.55467,0.01448,0.28368,0.24324,0.20272,0.07127,2.11733,3.88242,0.01207,0.000664352,0.000664352,0.000664352
2,237.792,1.39021,2.34594,0.0186,0.22584,0.26577,0.14267,0.06668,2.16213,3.09366,0.01363,0.00130466,0.00130466,0.00130466
3,354.198,1.46971,1.85943,0.02016,0.3614,0.24775,0.21549,0.0964,2.1229,2.80387,0.01257,0.00191858,0.00191858,0.00191858
4,470.553,1.47374,1.73138,0.01988,0.48875,0.31982,0.30937,0.13367,2.13251,2.48374,0.01249,0.0018812,0.0018812,0.0018812
5,586.61,1.42133,1.59968,0.01851,0.55635,0.36486,0.37482,0.16192,2.1025,2.33643,0.01207,0.0018416,0.0018416,0.0018416
6,702.625,1.39787,1.52664,0.018,0.48454,0.35586,0.34504,0.16489,2.10169,2.50491,0.01159,0.001802,0.001802,0.001802
7,818.644,1.36305,1.47426,0.01753,0.44758,0.35135,0.35261,0.16682,2.08275,2.35105,0.01195,0.0017624,0.0017624,0.0017624
8,933.222,1.35275,1.41901,0.01715,0.54559,0.38399,0.39908,0.16852,2.20757,2.22506,0.01249,0.0017228,0.0017228,0.0017228
9,1046.29,1.3186,1.33741,0.01639,0.55178,0.3964,0.42397,0.21177,2.00562,2.17092,0.01142,0.0016832,0.0016832,0.0016832
10,1160.19,1.3222,1.32037,0.0167,0.58595,0.44144,0.47778,0.22141,2.04825,2.02728,0.01125,0.0016436,0.0016436,0.0016436
11,1276.28,1.2945,1.29733,0.01591,0.56115,0.42793,0.45444,0.20921,2.01971,2.22166,0.0109,0.001604,0.001604,0.001604
12,1392.8,1.29525,1.26616,0.01599,0.57371,0.47297,0.47867,0.21801,2.04564,2.09016,0.01094,0.0015644,0.0015644,0.0015644
13,1507.75,1.25063,1.22989,0.01541,0.5819,0.48198,0.52453,0.25116,1.94241,1.91103,0.01098,0.0015248,0.0015248,0.0015248
14,1623.63,1.26419,1.24187,0.0154,0.62453,0.53153,0.56181,0.26249,1.96823,1.78079,0.01062,0.0014852,0.0014852,0.0014852
15,1741.56,1.24234,1.16571,0.01504,0.55698,0.50404,0.52323,0.24622,1.92925,1.84308,0.01104,0.0014456,0.0014456,0.0014456
16,1857.06,1.24184,1.20151,0.01458,0.57668,0.48478,0.50905,0.2547,2.11979,1.91714,0.01139,0.001406,0.001406,0.001406
17,1971.35,1.21992,1.16911,0.01464,0.63757,0.53092,0.55685,0.27285,1.98876,1.79422,0.01064,0.0013664,0.0013664,0.0013664
18,2085,1.2201,1.14809,0.01445,0.65406,0.48649,0.55135,0.26562,1.92198,1.79139,0.01036,0.0013268,0.0013268,0.0013268
19,2199.04,1.20352,1.12309,0.01406,0.62448,0.50938,0.55488,0.27513,2.04766,1.78965,0.0108,0.0012872,0.0012872,0.0012872
20,2314.3,1.16566,1.07964,0.0138,0.66362,0.49765,0.56343,0.29847,1.94748,1.71163,0.01033,0.0012476,0.0012476,0.0012476
21,2428.53,1.17474,1.07107,0.01393,0.67105,0.51459,0.58622,0.30302,1.8688,1.749,0.00985,0.001208,0.001208,0.001208
22,2542.32,1.15684,1.05464,0.01364,0.72033,0.5337,0.60966,0.30023,1.96505,1.69081,0.01082,0.0011684,0.0011684,0.0011684
23,2656.25,1.16836,1.05742,0.01337,0.71127,0.53604,0.60686,0.3055,1.89519,1.7097,0.01048,0.0011288,0.0011288,0.0011288
